item_id,p,repeat,variant,action,phrasing,onebox_label,credence_full,margin,is_degenerate,raw
opaque_00,0.5,0,direct,major_alone,direct,S,0.8,,False,"80

The reasoning behind choosing S"
opaque_00,0.5,0,direct,both,direct,S,0.75,,False,"75

Let me clarify my reasoning"
opaque_00,0.5,0,prediction,major_alone,report,S,0.9940889311437562,5.125,False,
opaque_00,0.5,0,prediction,major_alone,revealed,S,0.9740426428022031,3.625,False,
opaque_00,0.5,0,prediction,major_alone,observer,S,0.7549149868676283,1.125,False,
opaque_00,0.5,0,prediction,both,report,S,0.4378234991142019,-0.25,False,
opaque_00,0.5,0,prediction,both,revealed,S,0.020332353342658753,-3.875,False,
opaque_00,0.5,0,prediction,both,observer,S,0.037326887344129464,-3.25,False,
opaque_00,0.5,0,action,forced,-,S,0.9998766053808289,8.999999649982783,False,
opaque_00,0.6,0,direct,major_alone,direct,K,0.8,,False,"80

The reasoning behind this decision"
opaque_00,0.6,0,direct,both,direct,K,0.4,,False,"40

This decision is based on"
opaque_00,0.6,0,prediction,major_alone,report,K,0.9875683491468141,4.375,False,
opaque_00,0.6,0,prediction,major_alone,revealed,K,0.9740426428022031,3.625,False,
opaque_00,0.6,0,prediction,major_alone,observer,K,0.8519528019683106,1.75,False,
opaque_00,0.6,0,prediction,both,report,K,0.5621765008857981,0.25,False,
opaque_00,0.6,0,prediction,both,revealed,K,0.1480471980316895,-1.75,False,
opaque_00,0.6,0,prediction,both,observer,K,0.033085978388704126,-3.375,False,
opaque_00,0.6,0,action,forced,-,K,0.9968273169307178,5.749999928288162,False,
opaque_00,0.7,0,direct,major_alone,direct,M,0.7,,False,"70

The reasoning behind this decision"
opaque_00,0.7,0,direct,both,direct,M,0.3,,False,"30

The reasoning behind my decision"
opaque_00,0.7,0,prediction,major_alone,report,M,0.9975273768433653,6.0,False,
opaque_00,0.7,0,prediction,major_alone,revealed,M,0.9820137900379085,4.0,False,
opaque_00,0.7,0,prediction,major_alone,observer,M,0.8175744761936437,1.5,False,
opaque_00,0.7,0,prediction,both,report,M,0.18242552380635632,-1.5,False,
opaque_00,0.7,0,prediction,both,revealed,M,0.04208772791561884,-3.125,False,
opaque_00,0.7,0,prediction,both,observer,M,0.02297736991002561,-3.75,False,
opaque_00,0.7,0,action,forced,-,M,0.8175744850834649,1.5000000596046448,False,
opaque_00,0.75,0,direct,major_alone,direct,P,0.8,,False,"80

The reasoning behind this decision"
opaque_00,0.75,0,direct,both,direct,P,0.25,,False,"25

The reasoning behind my decision"
opaque_00,0.75,0,prediction,major_alone,report,P,0.9978172835546547,6.125,False,
opaque_00,0.75,0,prediction,major_alone,revealed,P,0.9706877692486436,3.5,False,
opaque_00,0.75,0,prediction,major_alone,observer,P,0.7310585786300049,1.0,False,
opaque_00,0.75,0,prediction,both,report,P,0.0675466911396291,-2.625,False,
opaque_00,0.75,0,prediction,both,revealed,P,0.029312230751356316,-3.5,False,
opaque_00,0.75,0,prediction,both,observer,P,0.01098694263059318,-4.5,False,
opaque_00,0.75,0,action,forced,-,P,0.9997388096898188,8.250000034138793,False,
opaque_00,0.8,0,direct,major_alone,direct,V,0.8,,False,80
opaque_00,0.8,0,direct,both,direct,V,0.2,,False,"20

Given this probability, let"
opaque_00,0.8,0,prediction,major_alone,report,V,0.9982992775885648,6.375,False,
opaque_00,0.8,0,prediction,major_alone,revealed,V,0.9770226300899744,3.75,False,
opaque_00,0.8,0,prediction,major_alone,observer,V,0.7772998611746911,1.25,False,
opaque_00,0.8,0,prediction,both,report,V,0.06008665017400762,-2.75,False,
opaque_00,0.8,0,prediction,both,revealed,V,0.04208772791561884,-3.125,False,
opaque_00,0.8,0,prediction,both,observer,V,0.02595735719779685,-3.625,False,
opaque_00,0.8,0,action,forced,-,V,0.8519528000888387,1.7499999850988388,False,
opaque_00,0.85,0,direct,major_alone,direct,V,0.85,,False,"85

The reasoning behind this decision"
opaque_00,0.85,0,direct,both,direct,V,0.85,,False,"85

Explanation for my choice:
"
opaque_00,0.85,0,prediction,major_alone,report,V,0.9975273768433653,6.0,False,
opaque_00,0.85,0,prediction,major_alone,revealed,V,0.9933071490757153,5.0,False,
opaque_00,0.85,0,prediction,major_alone,observer,V,0.8519528019683106,1.75,False,
