item_id,p,repeat,variant,action,phrasing,onebox_label,credence_full,margin,is_degenerate,raw
opaque_00,0.5,0,outcome,major_alone,report,S,0.9999546021312976,10.0,False,
opaque_00,0.5,0,outcome,major_alone,revealed,S,0.9999251537724895,9.5,False,
opaque_00,0.5,0,outcome,major_alone,observer,S,0.9998911030899734,9.125,False,
opaque_00,0.5,0,outcome,both,report,S,0.008577485413711986,-4.75,False,
opaque_00,0.5,0,outcome,both,revealed,S,0.46879062662624377,-0.125,False,
opaque_00,0.5,0,outcome,both,observer,S,0.10669059394565118,-2.125,False,
opaque_00,0.5,0,prediction,major_alone,report,S,0.9940889311437562,5.125,False,
opaque_00,0.5,0,prediction,major_alone,revealed,S,0.8807970779778823,2.0,False,
opaque_00,0.5,0,prediction,major_alone,observer,S,0.7981867777396212,1.375,False,
opaque_00,0.5,0,prediction,both,report,S,0.5621765008857981,0.25,False,
opaque_00,0.5,0,prediction,both,revealed,S,0.029312230751356316,-3.5,False,
opaque_00,0.5,0,prediction,both,observer,S,0.033085978388704126,-3.375,False,
opaque_00,0.5,0,direct,major_alone,direct,S,0.83,,False,"83

To explain this decision:

"
opaque_00,0.5,0,direct,both,direct,S,0.5,,False,"50

Given this setup, let"
opaque_00,0.6,0,outcome,major_alone,report,K,0.9998911030899734,9.125,False,
opaque_00,0.6,0,outcome,major_alone,revealed,K,0.9999646437492582,10.25,False,
opaque_00,0.6,0,outcome,major_alone,observer,K,0.9999485577862579,9.875,False,
opaque_00,0.6,0,outcome,both,report,K,0.01098694263059318,-4.5,False,
opaque_00,0.6,0,outcome,both,revealed,K,0.4378234991142019,-0.25,False,
opaque_00,0.6,0,outcome,both,observer,K,0.0953494648991095,-2.25,False,
opaque_00,0.6,0,prediction,major_alone,report,K,0.9933071490757153,5.0,False,
opaque_00,0.6,0,prediction,major_alone,revealed,K,0.8807970779778823,2.0,False,
opaque_00,0.6,0,prediction,major_alone,observer,K,0.8933094060543487,2.125,False,
opaque_00,0.6,0,prediction,both,report,K,0.7057850278370112,0.875,False,
opaque_00,0.6,0,prediction,both,revealed,K,0.10669059394565118,-2.125,False,
opaque_00,0.6,0,prediction,both,observer,K,0.01590639171181471,-4.125,False,
opaque_00,0.6,0,direct,major_alone,direct,K,0.6,,False,"60

The reasoning behind this decision"
opaque_00,0.6,0,direct,both,direct,K,0.4,,False,"40

This decision is based on"
opaque_00,0.7,0,outcome,major_alone,report,M,0.9999970976880148,12.75,False,
opaque_00,0.7,0,outcome,major_alone,revealed,M,0.9999785550515792,10.75,False,
opaque_00,0.7,0,outcome,major_alone,observer,M,0.999983298578152,11.0,False,
opaque_00,0.7,0,outcome,both,report,M,0.0007096703991005882,-7.25,False,
opaque_00,0.7,0,outcome,both,revealed,M,0.4378234991142019,-0.25,False,
opaque_00,0.7,0,outcome,both,observer,M,0.07585818002124356,-2.5,False,
opaque_00,0.7,0,prediction,major_alone,report,M,0.9994472213630764,7.5,False,
opaque_00,0.7,0,prediction,major_alone,revealed,M,0.8175744761936437,1.5,False,
opaque_00,0.7,0,prediction,major_alone,observer,M,0.8354835371034369,1.625,False,
opaque_00,0.7,0,prediction,both,report,M,0.32082130082460697,-0.75,False,
opaque_00,0.7,0,prediction,both,revealed,M,0.07585818002124356,-2.5,False,
opaque_00,0.7,0,prediction,both,observer,M,0.020332353342658753,-3.875,False,
opaque_00,0.7,0,direct,major_alone,direct,M,0.7,,False,"70

The reasoning behind this decision"
opaque_00,0.7,0,direct,both,direct,M,0.3,,False,"30

Given this setup, if"
opaque_00,0.75,0,outcome,major_alone,report,P,0.9999921107374138,11.75,False,
opaque_00,0.75,0,outcome,major_alone,revealed,P,0.9999599363077709,10.125,False,
opaque_00,0.75,0,outcome,major_alone,observer,P,0.9999417087343389,9.75,False,
opaque_00,0.75,0,outcome,both,report,P,0.0019267346633274755,-6.25,False,
opaque_00,0.75,0,outcome,both,revealed,P,0.4378234991142019,-0.25,False,
opaque_00,0.75,0,outcome,both,observer,P,0.1480471980316895,-1.75,False,
opaque_00,0.75,0,prediction,major_alone,report,P,0.9980732653366725,6.25,False,
opaque_00,0.75,0,prediction,major_alone,revealed,P,0.7057850278370112,0.875,False,
opaque_00,0.75,0,prediction,major_alone,observer,P,0.679178699175393,0.75,False,
opaque_00,0.75,0,prediction,both,report,P,0.06008665017400762,-2.75,False,
opaque_00,0.75,0,prediction,both,revealed,P,0.02297736991002561,-3.75,False,
opaque_00,0.75,0,prediction,both,observer,P,0.006692850924284856,-5.0,False,
opaque_00,0.75,0,direct,major_alone,direct,P,0.75,,False,"75

The reasoning behind this decision"
opaque_00,0.75,0,direct,both,direct,P,0.25,,False,"25

Given this setup, let"
opaque_00,0.8,0,outcome,major_alone,report,V,0.9999952149055051,12.25,False,
opaque_00,0.8,0,outcome,major_alone,revealed,V,0.9999930377437499,11.875,False,
